id,sensor_id,timestamp,value,quality,flag
1,22,2025-04-11 03:43:51,243.051,47,0
2,29,2025-03-08 05:03:01,372.362,64,0
3,57,2025-06-14 10:38:37,623.478,79,0
4,35,2025-03-28 23:14:43,-164.705,99,0
5,18,2025-02-10 02:24:26,429.995,1,0
6,50,2025-05-02 03:18:12,-28.639,96,0
7,74,2025-11-19 23:16:48,314.123,52,0
8,39,2025-11-20 03:20:55,-85.012,42,0
9,10,2025-03-06 06:14:31,397.753,5,0
10,9,2025-12-13 01:51:40,2.069,62,0
11,17,2025-03-07 01:34:12,640.436,9,0
12,38,2025-01-04 20:14:09,360.196,28,0
13,99,2025-07-01 08:18:02,399.934,35,0
14,68,2025-02-03 23:23:40,666.352,35,0
15,16,2025-08-01 09:31:50,228.826,93,0
16,83,2025-02-22 15:07:15,584.059,1,0
17,99,2025-10-04 18:00:42,48.807,82,0
18,47,2025-12-20 16:14:53,675.721,80,1
19,82,2025-04-18 19:34:36,736.119,11,0
20,66,2025-10-26 15:59:10,327.661,42,0
21,70,2025-03-16 17:55:27,248.68,17,0
22,48,2025-10-03 23:47:13,256.235,14,0
23,96,2025-04-09 18:52:01,208.123,6,0
24,7,2025-06-25 19:38:02,551.882,49,0
25,91,2025-04-18 06:40:35,30.969,50,0
26,26,2025-06-16 21:35:44,462.596,28,0
27,2,2025-06-14 09:25:17,146.424,76,0
28,96,2025-10-16 14:26:38,331.367,94,0
29,9,2025-07-10 17:58:42,25.891,21,0
30,12,2025-11-04 10:29:31,523.757,82,0
31,87,2025-06-27 10:05:06,738.698,92,0
32,29,2025-10-24 14:11:05,-70.288,33,0
33,88,2025-04-04 08:17:58,431.212,50,0
34,24,2025-11-13 10:54:26,242.663,14,0
35,71,2025-08-19 14:03:07,-117.25,15,0
36,34,2025-05-27 14:13:10,757.441,28,0
37,72,2025-06-07 06:24:54,240.171,79,0
38,36,2025-04-17 16:08:20,436.057,21,0
39,68,2025-10-09 03:49:10,257.317,20,0
40,54,2025-10-20 01:03:31,237.084,74,0
41,23,2025-10-02 23:07:12,332.652,53,0
42,75,2025-11-15 12:30:21,-15.554,8,0
43,45,2025-11-14 02:19:40,730.134,44,0
44,38,2025-06-26 02:40:32,633.403,77,0
45,46,2025-10-14 07:13:36,495.947,45,0
46,13,2025-05-22 17:09:01,787.604,80,0
47,69,2025-10-09 13:24:12,760.85,47,0
