id,customer_id,product_id,quantity,unit_price,discount,total,status,order_date
1,247,145,16,593.41,15.69,9494.56,pending,2025-12-24
2,1434,72,1,633.89,0,633.89,pending,2025-02-17
3,899,151,19,770.69,0,14643.11,delivered,2023-12-13
4,349,30,13,125.04,28.49,1625.52,delivered,2024-04-12
5,1553,127,13,623.12,0,8100.56,delivered,2024-03-27
6,452,56,12,561.69,0,6740.28,returned,2022-07-26
7,1175,48,2,184.21,0,368.42,returned,2022-04-08
8,1377,5,9,604.81,23.4,5443.29,shipped,2024-08-10
9,575,86,17,789.99,0,13429.83,returned,2024-07-28
10,6,165,15,583.18,0,8747.7,pending,2023-01-25
11,1557,65,2,202.76,11.94,405.52,delivered,2025-10-19
12,1432,85,1,378.98,3.17,378.98,pending,2024-06-22
13,1151,99,4,47.38,25.13,189.52,cancelled,2023-12-14
14,895,36,13,406.43,12.07,5283.59,cancelled,2025-03-27
15,1421,105,14,317.66,0,4447.24,delivered,2023-03-25
16,1036,130,12,420.65,0,5047.8,returned,2022-10-23
17,545,92,7,52.57,8.01,367.99,cancelled,2023-10-28
18,600,34,4,827.62,24.27,3310.48,returned,2022-04-02
19,728,96,1,697.43,0,697.43,delivered,2023-12-22
20,534,193,1,271.72,0,271.72,returned,2025-06-25
21,148,70,17,100.2,10.33,1703.4,cancelled,2025-12-10
22,1036,134,16,53.33,0,853.28,shipped,2022-09-25
23,1850,60,8,774.36,0,6194.88,pending,2024-04-18
24,1639,41,16,693.85,0,11101.6,pending,2023-04-07
25,626,63,16,560.31,0,8964.96,returned,2025-04-23
26,1158,123,2,58.49,0,116.98,shipped,2023-04-21
27,302,151,13,770.69,28.63,10018.97,shipped,2022-11-28
28,1241,158,9,150.99,7.48,1358.91,delivered,2025-07-26
29,114,178,17,354.22,0,6021.74,shipped,2023-03-24
30,1624,196,8,542.59,23.33,4340.72,shipped,2022-04-06
31,1107,78,2,335.71,0,671.42,cancelled,2024-10-21
32,954,174,18,231.71,0,4170.78,cancelled,2023-07-05
33,1422,63,13,560.31,23.29,7284.03,returned,2022-11-07
34,443,46,11,253.15,17.68,2784.65,shipped,2023-06-06
35,187,53,2,655.86,0,1311.72,cancelled,2025-10-10
36,673,133,13,298.55,0,3881.15,delivered,2023-04-14
37,111,105,17,317.66,0,5400.22,delivered,2025-09-27
38,1808,11,6,67.82,24.55,406.92,cancelled,2024-01-11
39,1102,44,3,690.47,0,2071.41,pending,2024-01-27
40,1565,121,9,963.7,0,8673.3,returned,2024-01-08
41,1190,36,10,406.43,0,4064.3,delivered,2025-06-11
42,662,39,7,211.25,17.46,1478.75,pending,2022-12-21
43,1195,84,8,903.84,0,7230.72,delivered,2023-01-22
44,90,119,7,371.17,0,2598.19,pending,2022-10-01
45,566,152,11,911.9,0,10030.9,pending,2025-10-27
46,456,55,8,112.9,8.34,903.2,pending,2024-03-24
47,406,9,15,332.46,17.04,4986.9,cancelled,2023-11-02
48,751,94,15,8.03,0,120.45,shipped,2025-03-05
49,1857,194,2,510.14,0,1020.28,returned,2024-07-07
50,924,129,1,730.46,0,730.46,delivered,2023-11-25
51,1952,179,19,450.55,0,8560.45,pending,2022-08-15
52,369,95,3,988.58,0,2965.74,pending,2024-01-25
53,1956,117,3,660.46,0,1981.38,pending,2023-08-02
