id,name,category,price,cost,stock,weight_kg,active
1,Hat,Electronics,932.66,374.35,1787,10.25,1
2,Apples,Food,667,247.26,4681,0.73,1
3,Cheese,Clothing,536.43,314.62,1960,6.02,1
4,Shoes,Auto,943.2,452.48,1112,44.55,0
5,Keyboard,Books,604.81,208.43,4269,5.31,1
6,Belt,Health,183.59,120.02,1535,12.72,1
7,Apples,Food,669.43,301.33,4654,32.25,1
8,Shirt,Health,581.03,390.74,4196,48.06,1
9,Tablet,Sports,332.46,158.43,3873,8.4,1
10,Comic,Auto,859.56,331.45,589,45.45,1
11,Beef,Books,67.82,31.55,3560,42.94,1
12,Socks,Toys,654.54,369.39,4660,34.14,1
13,Chicken,Garden,30.37,20.19,147,40.31,1
14,Scarf,Clothing,550.62,372.77,3381,3.03,1
15,Shoes,Garden,825.2,289.39,2252,29.97,1
16,Phone,Health,846.4,464.7,3837,13.88,1
17,Phone,Toys,122.61,75.08,3455,17.62,1
18,Eggs,Clothing,83.56,48.63,2413,31.84,1
19,Comic,Sports,437.6,156.9,4789,18.22,1
20,Cheese,Health,481.5,331.68,3978,25.33,1
21,Hat,Toys,554.6,368.31,2596,2.51,1
22,Bread,Food,119.41,81.51,646,49.28,1
23,Pants,Food,713.25,253.09,2230,37.44,1
24,Chicken,Food,58.24,38.65,2426,1.1,1
25,Journal,Health,219.32,113.62,327,8.08,1
26,Beef,Books,362.01,250.42,513,7.06,1
27,Pasta,Garden,141.19,70.62,1582,25.98,1
28,Shoes,Auto,829.59,360.78,4782,7.17,1
29,Socks,Food,717.02,468.73,351,14.82,1
30,Mouse,Electronics,125.04,54.07,2115,12.33,1
31,Jacket,Auto,158.16,103.71,1633,28.78,0
32,Laptop,Sports,244.09,165.74,1863,4.41,1
33,Hat,Food,253.97,149.47,2736,24.44,1
34,Hat,Garden,827.62,277.49,979,31.86,1
35,Gloves,Books,645.79,337.62,2521,20.01,1
36,Atlas,Toys,406.43,219.88,4117,49.68,1
37,Scarf,Toys,235.47,102.15,4688,12.65,1
38,Pants,Toys,458.13,275.6,4898,19.83,1
39,Phone,Health,211.25,65.74,4462,26.47,1
40,Textbook,Electronics,892.78,273.96,3515,3.83,1
41,Novel,Books,693.85,383.87,4122,32.64,1
42,Shirt,Health,874.09,359.59,1063,7.18,1
43,Manual,Clothing,64.03,21.57,4039,4.99,1
44,Eggs,Health,690.47,387.9,4572,48.54,1
45,Apples,Sports,639.61,289,1564,28.12,1
46,Scarf,Books,253.15,129.48,1796,24.06,1
47,Comic,Food,645.14,423.53,4324,44.01,1
48,Headphones,Toys,184.21,71.5,2874,43.52,1
49,Tablet,Home,875.58,299.01,1207,17.05,1
50,Comic,Sports,724.2,450.1,444,40.4,1
51,Chicken,Sports,328.87,195.45,2389,12.33,1
52,Planner,Garden,370.49,222.49,807,36.55,1
53,Beef,Home,655.86,212.94,2825,43.39,1
54,Planner,Garden,976.53,442.1,4361,36.48,1
55,Beef,Electronics,112.9,45.16,1311,8.15,1
56,Phone,Toys,561.69,331.25,1774,23,1
57,Pants,Garden,141.75,89.18,4231,34.76,1
58,Bag,Garden,583.34,218.02,2495,19.53,1
59,Planner,Health,631.88,199.24,2730,1.74,1
60,Apples,Electronics,774.36,328.91,1588,7.77,1
61,Apples,Electronics,968.17,499.25,1564,37.63,1
62,Dictionary,Food,166.62,70.88,1301,3.69,1
63,Monitor,Clothing,560.31,240.6,2243,17.89,1
64,Headphones,Auto,663.35,379.93,1816,46.08,1
65,Novel,Books,202.76,134.29,2253,23.9,1
66,Camera,Toys,397.63,124.11,1579,14.69,1
67,Cheese,Home,692.69,207.86,3005,6.14,1
68,Shoes,Health,447.71,180.84,3065,1.06,0
69,Monitor,Electronics,409.64,137.97,1766,35.51,1
70,Hat,Books,100.2,40.2,2125,1.51,1
71,Mouse,Toys,903.42,396.44,2070,23.82,1
72,Socks,Electronics,633.89,346.75,1212,23.3,1
73,Keyboard,Health,238.38,131.76,4277,12.65,1
74,Shirt,Electronics,221.84,154.32,401,36.77,1
75,Camera,Books,95.54,37.55,2200,10.55,1
76,Fish,Home,948.25,599.65,4292,38.21,1
77,Beef,Toys,97.67,46.1,1461,31.39,0
78,Chicken,Sports,335.71,163.26,874,14.32,0
79,Pants,Toys,60.77,28.16,820,42.63,1
80,Comic,Home,59.51,29.49,1990,42.35,0
81,Hat,Auto,637.31,430.36,3734,33.95,1
82,Cheese,Clothing,286.13,109.17,129,10.81,1
83,Pasta,Garden,806.73,355.79,799,26.02,0
84,Watch,Toys,903.84,406.95,162,6.69,1
85,Camera,Auto,378.98,150.14,1928,20.64,1
86,Manual,Toys,789.99,448.77,2625,29.23,0
87,Keyboard,Health,600.01,405.34,746,31.99,1
88,Mouse,Toys,646.25,357.86,2326,9.81,0
89,Dictionary,Health,968.98,618.03,353,41.61,0
90,Keyboard,Food,592.32,260.58,2128,35.33,1
91,Guide,Auto,916.22,334.48,4697,42.54,1
92,Fish,Clothing,52.57,30.42,359,33.99,1
93,Phone,Toys,750.35,326.48,4662,45.13,0
94,Milk,Sports,8.03,5.05,1822,11.24,1
95,Textbook,Home,988.58,571.59,2472,39.96,1
96,Watch,Books,697.43,257.45,162,24.72,1
97,Monitor,Food,305.05,98.45,2596,10.64,1
98,Shirt,Clothing,66.06,29.91,3435,36.18,1
99,Shirt,Sports,47.38,18.66,2766,46.23,1
100,Belt,Sports,779.66,515.48,2247,28.45,1
101,Phone,Health,100.03,64.33,1079,36.25,1
102,Speaker,Books,573.77,279.6,730,7.89,1
103,Jacket,Toys,661.57,234.56,1105,35.65,1
104,Headphones,Clothing,386.74,152.43,2147,48.99,0
105,Beef,Clothing,317.66,140.25,1423,29.6,0
106,Shoes,Auto,596.1,393.06,3633,10.17,1
107,Shirt,Sports,829.1,370.17,3801,16.65,0
108,Laptop,Clothing,541.06,253.13,3963,6.7,1
109,Jacket,Auto,21.24,6.56,3976,32.26,1
110,Manual,Sports,77.9,29.5,4978,24.95,1
111,Eggs,Clothing,281.59,155.92,4331,31.61,1
112,Comic,Health,393.73,158.16,2614,0.62,0
113,Belt,Toys,129.9,61.42,1692,35.57,1
114,Beef,Clothing,139.28,80.07,1442,16.4,1
115,Shirt,Food,763.04,486.22,734,13.13,1
116,Bread,Books,208.96,75.11,1920,41.88,1
117,Camera,Sports,660.46,406.16,3916,18.42,0
118,Phone,Home,380.05,160.15,1158,18.24,1
119,Shirt,Garden,371.17,245.56,430,15.44,1
120,Belt,Sports,239.25,118.48,1992,6.42,1
121,Shoes,Auto,963.7,449.83,3287,44.21,1
122,Fish,Books,816.6,434.13,3788,31.2,1
123,Apples,Sports,58.49,30.18,3184,44.66,1
124,Textbook,Electronics,809.49,556.41,4928,7.77,1
125,Textbook,Toys,142.11,72.61,2556,21.98,1
126,Bag,Auto,118.97,78.64,4682,6.57,1
127,Phone,Health,623.12,216.55,2062,29.16,0
128,Guide,Sports,216.83,147.57,4787,10.91,1
129,Guide,Garden,730.46,414.34,2018,22.77,1
130,Shirt,Books,420.65,165.17,2228,13.38,1
131,Milk,Electronics,652.89,306.16,264,22.48,1
132,Keyboard,Sports,173.13,66.12,3476,12.77,0
133,Comic,Books,298.55,198.41,4921,18.94,0
134,Milk,Toys,53.33,32.26,4681,1.34,1
135,Scarf,Auto,674.59,335.3,165,23.3,1
136,Textbook,Auto,28.67,15.01,2506,22.07,1
137,Pants,Home,358.4,236.27,4242,11.27,1
138,Monitor,Toys,557.12,315.98,4550,35.28,1
139,Pasta,Clothing,43.53,15.74,2797,40.68,1
140,Jacket,Health,966.17,301.12,4854,23.4,1
141,Mouse,Health,621.99,253.37,481,41.36,1
142,Textbook,Toys,446.08,227.36,4270,10.41,1
143,Belt,Food,59.58,41.2,2201,36.36,1
144,Dictionary,Garden,247.92,104.23,3921,14.25,1
145,Gloves,Auto,593.41,381.87,1303,28.05,0
146,Camera,Clothing,629.33,386.05,2266,41.88,1
147,Bag,Health,214.28,73.12,1251,19.68,1
148,Watch,Sports,72.74,34.38,412,47.82,1
149,Hat,Toys,515.34,328.26,4215,46.91,1
150,Mouse,Clothing,533.49,226.22,2583,27.95,1
151,Shoes,Toys,770.69,392.98,853,16,1
152,Pasta,Food,911.9,389.05,593,12.08,0
153,Beef,Electronics,22.28,7.52,2401,49.53,1
154,Pasta,Books,890.6,417.57,1834,9.07,1
155,Milk,Health,431.01,179.07,3625,26.21,0
156,Fish,Books,200.01,138.27,839,29.33,1
157,Novel,Sports,83.71,46.61,708,18.3,1
158,Milk,Clothing,150.99,95.24,3807,47.61,1
159,Speaker,Home,174.14,62.95,2282,10.47,1
160,Dictionary,Clothing,574.94,305.36,1189,21.94,1
161,Tablet,Clothing,81.95,26.63,1489,34.98,1
162,Comic,Sports,600.01,266.49,3462,47.52,1
163,Guide,Home,241.1,72.65,2495,0.34,1
164,Rice,Auto,527.51,265.53,1003,33.5,1
165,Comic,Books,583.18,220.21,2168,39.36,1
166,Headphones,Toys,616.72,287.49,2638,2.92,1
167,Tablet,Books,277.82,167.72,319,39.79,1
168,Camera,Garden,701.25,378.55,1489,50.1,1
169,Cheese,Sports,786,298.2,2167,28.47,0
170,Hat,Garden,944.19,393.12,1339,14.61,1
171,Bread,Auto,845.83,584.42,1175,15.27,1
172,Chicken,Garden,95.98,63.06,2349,21.61,1
173,Belt,Clothing,580.62,222.39,2911,45.96,1
174,Camera,Food,231.71,145.69,4833,10.31,1
175,Belt,Auto,211.16,99.58,1643,8.89,1
176,Dictionary,Clothing,850.78,294.87,3362,31.91,1
177,Textbook,Home,350.23,163.77,4708,17.26,1
178,Textbook,Toys,354.22,108.89,3802,34.79,1
179,Eggs,Food,450.55,157.6,3099,21.68,1
180,Gloves,Clothing,774.95,251.85,3799,43.09,1
181,Apples,Health,824.33,266.72,1163,22.05,1
182,Chicken,Home,718.6,320.85,1792,47.3,1
183,Phone,Health,656.46,331.59,3865,19.76,1
184,Socks,Home,385.1,136.45,2987,7.15,1
185,Socks,Clothing,326.55,164.89,2844,32.9,1
186,Fish,Toys,627.64,302.58,4676,21.17,1
187,Belt,Electronics,626.35,292.67,3208,22.07,1
188,Pasta,Clothing,176.18,87.12,3804,10.13,1
189,Apples,Home,492.26,193.61,4062,21.91,1
190,Pasta,Food,524.31,239.16,4114,33.22,1
191,Phone,Food,778.27,447.79,3217,27.64,1
192,Watch,Health,576.21,218.85,58,46.82,1
193,Rice,Toys,271.72,153.35,1763,18.54,1
194,Gloves,Toys,510.14,245.67,3711,42.64,1
195,Planner,Health,515.75,236.6,4816,31.82,1
196,Tablet,Health,542.59,177.29,1661,29.36,1
197,Apples,Clothing,822.64,450.27,3546,15.68,1
198,Journal,Home,380.95,180.24,2896,37.99,1
199,Milk,Garden,565.45,394.67,2809,8.19,1
200,Fish,Garden,990.22,354.99,3062,22.44,1
